source,target,tgt_lng
1个霸符，2个霸符,一個Buff，兩個Buff,zh-TW
2 Vàng Là Nhất,價值爆棚,zh-TW
2体のタンク,坦度雙倍,zh-TW
2만한 가치,價值爆棚,zh-TW
2인조,雙排,zh-TW
3の軍団,「三」之軍團,zh-TW
3단계 군단,「三」之軍團,zh-TW
4가 함께하길,願四之力與你同在,zh-TW
4후지원,四重援軍,zh-TW
8级D干的传说,史詩重抽,zh-TW
A Hajnal égisze,黎明聖盾,zh-TW
A Magic Roll,魔法擲骰,zh-TW
A Masszív mecha,超能機甲,zh-TW
A Nagy Bumm,大霹靂星系,zh-TW
A Que Custo,不惜代價,zh-TW
A Remontar,脫穎而出,zh-TW
A Torre,防禦高塔,zh-TW
A União Faz a Força,攜手同行,zh-TW
A buzogány akarata,戰錘意志,zh-TW
A felemelkedés talizmánja,昇華護符,zh-TW
A feltámadás áldása,復活祝福,zh-TW
A frontvonal alapjai,前線基礎,zh-TW
A gondviselő barátja,守望者之友,zh-TW
A gyűjtögető adománya,女武神的祝福,zh-TW
A hatalom kelyhe,力量聖杯,zh-TW
A járatlan út,斜槓英雄,zh-TW
A kraken haragja,海妖之怒,zh-TW
A káosz hívása,混沌召喚,zh-TW
A legapróbb titán,迷你小英雄,zh-TW
A megváltás szelleme,靈魂救贖,zh-TW
A mozdulatlanság leple,寂靜法衣,zh-TW
A méret a lényeg,大小很重要,zh-TW
A nagy pofon,真派氣功,zh-TW
A négyek ereje,願四之力與你同在,zh-TW
A por el bote,拳擊選手,zh-TW
A por la victoria,脫穎而出,zh-TW
A portyázó karma,潛行者之爪,zh-TW
A prueba de choques,碰撞測試,zh-TW
A quale prezzo,不惜代價,zh-TW
A qué precio,不惜代價,zh-TW
A rettenthetetlen,不屈鬥魂,zh-TW
A taktikus koronája,棋手皇冠,zh-TW
A titán elszántsága,泰坦的決意,zh-TW
A torony,防禦高塔,zh-TW
A végjáték szakértője,專打後期,zh-TW
A vízköpő sziklavértje,石像鬼磐核,zh-TW
AFK,強制中離,zh-TW
Aatrox,厄薩斯,zh-TW
Abbonamento di lusso,訂購奢侈品,zh-TW
Abbraccio di gruppo,大家來抱抱,zh-TW
Abendschleier,均等法衣,zh-TW
Abo-Service,訂閱服務,zh-TW
Abonament,訂閱服務,zh-TW
Abonament de lux,訂購奢侈品,zh-TW
Abondance de baguettes,魔杖湧流,zh-TW
Abondance de ceintures,腰帶多多,zh-TW
Abondance de glaives,刀劍湧流,zh-TW
Abonelik Hizmeti,訂閱服務,zh-TW
Abonnement,訂閱服務,zh-TW
Abonnement premium,訂購奢侈品,zh-TW
Abra o Caminho,殺出血路,zh-TW
Abrazo Grupal,大家來抱抱,zh-TW
Abrazo grupal,大家來抱抱,zh-TW
Abraço Coletivo,大家來抱抱,zh-TW
Absurdalnie Wielka Różdżka,巨型魔棒,zh-TW
Abwesend,強制中離,zh-TW
